aalib 1.4rc5-19
speexdsp 1.2.1-2
spice 0.16.0-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.350.0-1
sqlite 3.53.1-1
sratom 0.6.22-1
srt 1.5.5-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
sushi 50.0-1
svt-av1 4.1.0-1
svt-hevc 1.5.1-4
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
taglib 2.3-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tecla 50.0-1
tevent 1:0.17.1-2
texinfo 7.3-1
tinysparql 3.11.1-1
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
transmission-gtk-git 2:4.1.0.beta.2.r23.gd6e78d11e-1
tree 2.3.2-1
tree-sitter 0.26.8-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
ttf-arphic-extra 20190327-4
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-roboto 3.015-1
twolame 0.4.0-4
typescript 5.9.3-2
tzdata 2026b-1
uchardet 0.0.8-4
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 75-2
vde2 2.3.3-8
vid.stab 1.1.1-2
virglrenderer 1.3.0-2
virt-install 5.1.0-3
virt-manager 5.1.0-3
virtiofsd 1.13.3-1
visual-studio-code-bin 1.117.0-1
vmaf 3.1.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vulkan-icd-loader 1.4.350.0-1
vulkan-mesa-implicit-layers 1:26.0.6-1
vulkan-radeon 1:26.0.6-1
wavpack 5.9.0-1
wayland 1.25.0-1
webkit2gtk-4.1 2.52.3-1
webkitgtk-6.0 2.52.3-1
webrtc-audio-processing-1 1.3-5
which 2.23-1
wildmidi 0.4.6-1
wireplumber 0.5.14-1
woff2 1.0.2-6
wolfssl 5.9.1-1
wpa_supplicant 2:2.11-5
wsdd 0.9-2
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
